r_xy_mm,phi_deg,z_mm,spiral,order_idx
257,92.0,475,forward,234
250,90.4,509,reverse,235
249,95.1,574,reverse,236
264,94.9,579,forward,237
257,90.1,643,forward,238
250,92.2,677,reverse,239
248,96.9,742,reverse,240
248,93.1,747,forward,241
165,97.4,787,reverse,242
251,100.7,787,forward,243
256,104.6,702,reverse,244
239,97.8,683,forward,245
253,99.9,638,reverse,246
241,102.5,619,forward,247
254,102.8,534,reverse,248
254,99.6,515,forward,249
258,98.1,470,reverse,250
252,104.4,451,forward,251
255,101.0,366,reverse,252
249,101.4,347,forward,253
241,103.9,262,reverse,254
238,98.5,243,forward,255
236,99.2,198,reverse,256
255,103.2,179,forward,257
261,102.1,94,reverse,258
260,100.3,75,forward,259
246,105.0,11,forward,260
246,109.8,55,reverse,261
243,108.0,115,forward,262
251,106.8,158,reverse,263
253,110.9,219,forward,264
265,111.6,223,reverse,265
263,106.2,283,forward,266
239,108.7,326,reverse,267
237,109.1,387,forward,268
241,105.7,430,reverse,269
255,112.0,491,forward,270
256,110.5,494,reverse,271
245,107.3,555,forward,272
254,107.5,598,reverse,273
249,110.2,658,forward,274
261,112.3,662,reverse,275
258,105.5,723,forward,276
262,109.3,766,reverse,277
220,109.8,795,reverse,278
238,113.1,762,forward,279
263,117.0,726,reverse,280
250,117.9,698,forward,281
253,119.9,623,reverse,282
263,114.9,594,forward,283
240,115.2,558,reverse,284
263,119.7,530,forward,285
258,118.1,455,reverse,286
251,116.8,426,forward,287
240,113.4,391,reverse,288
248,113.8,323,forward,289
241,116.3,287,reverse,290
245,118.6,258,forward,291
261,119.2,183,reverse,292
263,115.6,155,forward,293
264,114.5,119,reverse,294
255,112.7,51,forward,295
245,117.4,15,reverse,296
120,117.4,5,reverse,297
262,125.1,26,forward,298
262,122.2,79,reverse,299
242,120.4,91,forward,300
240,126.9,143,reverse,301
255,123.3,194,forward,302
262,124.0,247,reverse,303
253,126.2,298,forward,304
255,121.1,351,reverse,305
254,121.5,362,forward,306
238,125.8,415,reverse,307
238,124.4,466,forward,308
264,122.9,519,reverse,309
254,127.3,570,forward,310
238,122.6,634,forward,311
261,124.7,687,reverse,312
248,125.5,738,forward,313
243,121.7,791,reverse,314
188,129.8,785,reverse,315
252,133.2,777,forward,316
237,129.4,751,reverse,317
249,130.3,674,forward,318
253,132.3,647,reverse,319
251,127.6,583,reverse,320
236,132.1,506,forward,321
255,130.5,479,reverse,322
243,129.2,402,forward,323
255,133.5,375,reverse,324
243,133.9,338,forward,325
247,128.7,311,reverse,326
259,131.0,234,forward,327
246,131.6,208,reverse,328
252,128.0,130,forward,329
241,134.6,104,reverse,330
238,132.8,66,forward,331
259,129.8,40,reverse,332
241,142.2,13,reverse,333
256,142.2,64,reverse,334
253,140.4,106,forward,335
253,139.3,168,reverse,336
245,135.7,170,forward,337
256,136.4,272,reverse,338
253,138.6,274,forward,339
257,141.1,336,reverse,340
259,141.6,377,forward,341
246,138.2,440,reverse,342
252,136.8,442,forward,343
248,135.3,543,reverse,344
257,139.7,545,forward,345
241,140.0,608,reverse,346
240,135.0,609,forward,347
247,137.1,711,reverse,348
249,137.9,713,forward,349
256,141.8,775,reverse,350
50,137.5,785,forward,351
245,145.6,753,forward,352
236,149.5,736,reverse,353
239,144.7,672,reverse,354
259,142.7,649,forward,355
248,147.4,585,forward,356
255,147.7,568,reverse,357
248,142.9,504,reverse,358
248,144.5,481,forward,359
258,149.2,417,forward,360
253,145.9,400,reverse,361
239,146.3,313,forward,362
261,148.8,296,reverse,363
262,144.0,232,reverse,364
258,143.4,209,forward,365
250,148.1,145,forward,366
235,147.0,128,reverse,367
237,145.2,42,forward,368
256,149.9,25,reverse,369
257,152.8,81,forward,370
252,154.6,89,reverse,371
237,155.8,185,forward,372
250,151.7,192,reverse,373
249,151.0,249,forward,374
246,156.4,257,reverse,375
238,154.0,353,forward,376
251,153.5,360,reverse,377
264,156.9,457,forward,378
248,150.6,464,reverse,379
265,152.1,521,forward,380
250,155.3,528,reverse,381
243,155.1,625,forward,382
247,152.4,632,reverse,383
261,150.3,689,forward,384
242,157.1,696,reverse,385
253,153.3,792,forward,386
125,157.6,788,forward,387
237,161.9,760,reverse,388
243,158.0,728,forward,389
243,162.7,664,forward,390
262,164.8,657,reverse,391
263,160.1,592,reverse,392
241,159.8,560,forward,393
262,164.5,496,forward,394
248,163.0,489,reverse,395
246,158.3,425,reverse,396
254,161.6,392,forward,397
239,161.2,321,reverse,398
255,158.7,289,forward,399
258,163.4,225,forward,400
248,164.1,217,reverse,401
250,159.4,153,reverse,402
252,160.5,121,forward,403
258,162.3,49,reverse,404
259,157.6,17,forward,405
212,162.3,13,reverse,406
127,157.6,4,forward,407
236,170.0,9,reverse,408
249,165.2,57,forward,409
238,167.0,113,reverse,410
241,168.2,160,forward,411
260,171.8,177,reverse,412
263,171.1,264,forward,413
260,168.8,281,reverse,414
255,166.4,328,forward,415
249,165.9,385,reverse,416
246,169.3,432,forward,417
258,170.7,449,reverse,418
258,172.2,536,forward,419
243,167.7,553,reverse,420
264,167.5,600,forward,421
247,170.4,704,forward,422
246,169.5,721,reverse,423
237,165.7,768,forward,424
239,174.3,785,reverse,425
239,178.1,743,forward,426
264,177.2,681,reverse,427
259,175.1,640,forward,428
253,172.5,617,reverse,429
238,179.9,575,forward,430
251,175.4,513,reverse,431
248,176.9,472,forward,432
243,178.3,409,reverse,433
251,174.0,368,forward,434
239,173.6,345,reverse,435
257,178.8,304,forward,436
