r_xy_mm,phi_deg,z_mm,spiral,order_idx
93,-71.9,46,reverse,211
108,-70.3,76,forward,212
109,-74.8,99,reverse,213
112,-70.1,131,reverse,214
112,-72.2,162,forward,215
89,-65.4,164,reverse,216
104,-67.4,129,forward,217
94,-62.4,111,reverse,218
96,-62.7,97,forward,219
88,-67.2,78,reverse,220
88,-65.6,44,forward,221
94,-64.2,25,reverse,222
105,-60.9,11,forward,223
109,-61.3,-27,reverse,224
104,-63.8,-42,forward,225
89,-66.0,-60,reverse,226
95,-66.7,-95,forward,227
109,-63.1,-113,reverse,228
90,-62.0,-127,forward,229
95,-60.2,-166,reverse,230
107,-57.3,-160,forward,231
99,-55.5,-133,reverse,232
97,-54.3,-107,forward,233
90,-58.4,-80,reverse,234
108,-59.1,-75,forward,235
95,-53.6,-48,reverse,236
91,-56.1,-22,forward,237
109,-56.6,5,reverse,238
102,-53.2,31,forward,239
109,-59.5,58,reverse,240
91,-58.0,64,forward,241
98,-54.8,91,reverse,242
95,-55.0,117,forward,243
93,-57.7,144,reverse,244
91,-59.8,150,forward,245
96,-52.1,170,forward,246
101,-45.3,156,reverse,247
106,-47.4,137,forward,248
105,-50.0,124,reverse,249
97,-50.3,84,forward,250
106,-47.1,71,reverse,251
111,-45.6,51,forward,252
100,-51.8,38,reverse,253
89,-48.5,-1,forward,254
104,-48.9,-15,reverse,255
101,-51.4,-54,forward,256
105,-46.0,-68,reverse,257
92,-46.7,-87,forward,258
112,-50.7,-101,reverse,259
94,-49.6,-140,forward,260
96,-47.8,-153,reverse,261
91,-40.1,-174,reverse,262
107,-44.9,-173,forward,263
102,-43.1,-121,reverse,264
104,-41.9,-120,forward,265
89,-38.3,-88,reverse,266
97,-39.0,-67,forward,267
93,-41.3,-35,reverse,268
101,-43.7,-34,forward,269
105,-44.2,18,reverse,270
95,-40.8,19,forward,271
102,-39.4,51,reverse,272
99,-37.9,72,forward,273
112,-42.4,103,reverse,274
90,-42.6,104,forward,275
93,-37.6,136,reverse,276
112,-39.7,157,forward,277
100,-32.9,169,reverse,278
109,-35.0,125,forward,279
90,-30.2,92,forward,280
96,-34.7,83,reverse,281
97,-33.2,39,forward,282
94,-31.8,30,reverse,283
88,-36.5,-2,reverse,284
107,-36.1,-14,forward,285
102,-31.3,-47,forward,286
110,-33.6,-55,reverse,287
111,-34.3,-100,forward,288
104,-30.7,-108,reverse,289
97,-35.4,-141,reverse,290
110,-37.2,-152,forward,291
108,-24.8,-165,forward,292
106,-27.7,-161,reverse,293
105,-29.5,-132,forward,294
104,-23.0,-128,reverse,295
110,-26.6,-79,forward,296
108,-25.9,-76,reverse,297
110,-23.7,-26,forward,298
103,-28.9,-23,reverse,299
103,-28.4,6,forward,300
105,-24.1,10,reverse,301
90,-25.5,59,forward,302
112,-27.0,63,reverse,303
102,-22.6,112,forward,304
93,-30.0,116,reverse,305
100,-27.3,145,forward,306
110,-25.2,149,reverse,307
92,-19.6,165,forward,308
102,-17.6,128,reverse,309
93,-22.3,96,reverse,310
97,-17.8,79,forward,311
111,-19.4,43,reverse,312
109,-20.8,26,forward,313
93,-16.0,-6,forward,314
96,-16.5,-10,reverse,315
97,-21.2,-43,reverse,316
104,-18.9,-59,forward,317
98,-18.3,-96,reverse,318
101,-21.9,-112,forward,319
90,-17.1,-145,forward,320
111,-15.3,-149,reverse,321
89,-7.7,-169,reverse,322
98,-9.5,-125,forward,323
107,-10.6,-116,reverse,324
101,-14.2,-92,forward,325
96,-13.5,-63,reverse,326
99,-11.3,-39,forward,327
91,-8.8,-30,reverse,328
103,-8.4,14,forward,329
96,-11.7,23,reverse,330
100,-13.1,47,forward,331
105,-14.6,76,reverse,332
88,-10.2,100,forward,333
105,-9.9,108,reverse,334
89,-14.9,132,forward,335
